log,FA_name,FA_number,area,marker bed,bed_number,bed_thickness,sand/mud,gs_base,gs_top,event_th,sand_proportion,,
PBO2a,upper_overbank,4,proximal,,59,3,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,60,2,m,m,m,5,60.00,,
PBO2a,upper_overbank,4,proximal,,61,3,s,ms,fs,,,,
PBO2a,upper_overbank,4,proximal,,62,4,m,m,m,7,42.86,,
PBO2a,upper_overbank,4,proximal,,63,1,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,64,2,m,m,m,3,33.33,,
PBO2a,upper_overbank,4,proximal,,65,1,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,66,3,m,m,m,4,25.00,,
PBO2a,upper_overbank,4,proximal,,67,1,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,68,1,m,m,m,2,50.00,,
PBO2a,upper_overbank,4,proximal,,69,2,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,70,4,m,m,m,6,33.33,,
PBO2a,upper_overbank,4,proximal,,71,2,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,72,6,m,m,m,8,25.00,,
PBO2a,upper_overbank,4,proximal,,73,1,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,74,1,m,m,m,2,50.00,,
PBO2a,upper_overbank,4,proximal,,75,1,s,vfs,csi,,,,
PBO2a,upper_overbank,4,proximal,,76,2,m,m,m,3,33.33,,
PBO2a,upper_overbank,4,proximal,,77,0.5,s,csi,csi,,,,
PBO2a,upper_overbank,4,proximal,,78,1,m,m,m,1.5,33.33,,
PBO2a,upper_overbank,4,proximal,,79,0.5,s,csi,csi,,,,
PBO2a,upper_overbank,4,proximal,,80,1,m,m,m,1.5,33.33,,
PBO2a,upper_overbank,4,proximal,,81,4,s,ms,fs,,,,
PBO2a,upper_overbank,4,proximal,,82,3,m,m,m,7,57.14,,
PBO2a,upper_overbank,4,proximal,,83,2,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,84,3,m,m,m,5,40.00,,
PBO2a,upper_overbank,4,proximal,,85,2,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,86,2,m,m,m,4,50.00,,
PBO2a,upper_overbank,4,proximal,,87,2,s,ms,fs,,,,
PBO2a,upper_overbank,4,proximal,,88,2,m,m,m,4,50.00,,
PBO2a,upper_overbank,4,proximal,,89,13,s,cs,fs,,,,
PBO2a,upper_overbank,4,proximal,,90,5,m,m,m,18,72.22,,
PBO2a,upper_overbank,4,proximal,,91,1,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,92,11,m,m,m,12,8.33,,
PBO2a,upper_overbank,4,proximal,,93,2,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,94,2,m,m,m,4,50.00,,
PBO2a,upper_overbank,4,proximal,,95,1,s,fs,fs,,,,
PBO2a,upper_overbank,4,proximal,,96,1,m,m,m,2,50.00,,
PBO2a,upper_overbank,4,proximal,,97,1,s,fs,fs,,,,
PBO2a,upper_overbank,4,proximal,,98,6,m,m,m,7,14.29,,
PBO2a,upper_overbank,4,proximal,,99,1,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,100,1,m,m,m,2,50.00,,
PBO2a,upper_overbank,4,proximal,,101,1,s,fs,fs,,,,
PBO2a,upper_overbank,4,proximal,,102,5,m,m,m,6,16.67,,
PBO2a,upper_overbank,4,proximal,,103,3,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,104,4,m,m,m,7,42.86,,
PBO2a,upper_overbank,4,proximal,,105,2,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,106,3,m,m,m,5,40.00,,
PBO2a,upper_overbank,4,proximal,,107,2,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,108,1,m,m,m,3,66.67,,
PBO2a,upper_overbank,4,proximal,,109,1,s,vfs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,110,10,m,m,m,11,9.09,,
PBO2a,upper_overbank,4,proximal,,111,2,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,112,7,m,m,m,9,22.22,,
PBO2a,upper_overbank,4,proximal,,113,6,s,ms,fs,,,,
PBO2a,upper_overbank,4,proximal,,114,2,m,m,m,8,75.00,,
PBO2a,upper_overbank,4,proximal,,115,1,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,116,4,m,m,m,5,20.00,,
PBO2a,upper_overbank,4,proximal,,117,2,s,fs,vfs,,,,
PBO2a,upper_overbank,4,proximal,,118,2,m,m,m,4,50.00,,
PBO2a,upper_overbank,4,proximal,,119,7,s,ms,fs,,,,
PBO2a,upper_overbank,4,proximal,,120,3,m,m,m,10,70.00,,
PBO2b,upper_overbank,4,proximal,,1,10,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,2,1,m,m,m,11,90.91,,
PBO2b,upper_overbank,4,proximal,,3,1.5,s,ms,fs,,,,
PBO2b,upper_overbank,4,proximal,,4,2,m,m,m,3.5,42.86,,
PBO2b,upper_overbank,4,proximal,,5,0.5,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,6,3,m,m,m,3.5,14.29,,
PBO2b,upper_overbank,4,proximal,,7,2,s,vfs,csi,,,,
PBO2b,upper_overbank,4,proximal,,8,2,m,m,m,4,50.00,,
PBO2b,upper_overbank,4,proximal,,9,3,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,10,1,m,m,m,4,75.00,,
PBO2b,upper_overbank,4,proximal,,11,1,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,12,0.5,m,m,m,1.5,66.67,,
PBO2b,upper_overbank,4,proximal,,13,1.5,s,fs,csi,,,,
PBO2b,upper_overbank,4,proximal,,14,1.5,m,m,m,3,50.00,,
PBO2b,upper_overbank,4,proximal,,15,2,s,fs,csi,,,,
PBO2b,upper_overbank,4,proximal,,16,1,m,m,m,3,66.67,,
PBO2b,upper_overbank,4,proximal,,17,1.5,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,18,1.5,m,m,m,3,50.00,,
PBO2b,upper_overbank,4,proximal,,19,6,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,20,9,m,m,m,15,40.00,,
PBO2b,upper_overbank,4,proximal,,21,0.5,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,22,2,m,m,m,2.5,20.00,,
PBO2b,upper_overbank,4,proximal,,23,0.5,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,24,7,m,m,m,7.5,6.67,,
PBO2b,upper_overbank,4,proximal,,25,0.4,s,csi,fsi,,,,
PBO2b,upper_overbank,4,proximal,,26,0.2,m,m,m,0.6,66.67,,
PBO2b,upper_overbank,4,proximal,,27,0.3,s,csi,fsi,,,,
PBO2b,upper_overbank,4,proximal,,28,1,m,m,m,1.3,23.08,,
PBO2b,upper_overbank,4,proximal,,29,0.3,s,csi,fsi,,,,
PBO2b,upper_overbank,4,proximal,,30,1,m,m,m,1.3,23.08,,
PBO2b,upper_overbank,4,proximal,,31,0.2,s,csi,fsi,,,,
PBO2b,upper_overbank,4,proximal,,32,1.5,m,m,m,1.7,11.76,,
PBO2b,upper_overbank,4,proximal,,33,1.5,s,fs,csi,,,,
PBO2b,upper_overbank,4,proximal,,34,1,m,m,m,2.5,60.00,,
PBO2b,upper_overbank,4,proximal,,35,0.5,s,fs,csi,,,,
PBO2b,upper_overbank,4,proximal,,36,1,m,m,m,1.5,33.33,,
PBO2b,upper_overbank,4,proximal,,37,1,s,fs,csi,,,,
PBO2b,upper_overbank,4,proximal,,38,1.5,m,m,m,2.5,40.00,,
PBO2b,upper_overbank,4,proximal,,39,5,s,csi,csi,,,,
PBO2b,upper_overbank,4,proximal,,40,1,m,m,m,6,83.33,,
PBO2b,upper_overbank,4,proximal,,41,1,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,42,6,m,m,m,7,14.29,,
PBO2b,upper_overbank,4,proximal,,43,0.5,s,vfs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,44,0.5,m,m,m,1,50.00,,
PBO2b,upper_overbank,4,proximal,,45,1,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,46,0.5,m,m,m,1.5,66.67,,
PBO2b,upper_overbank,4,proximal,,47,1.5,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,48,6,m,m,m,7.5,20.00,,
PBO2b,upper_overbank,4,proximal,,49,3,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,50,1,m,m,m,4,75.00,,
PBO2b,upper_overbank,4,proximal,,51,1,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,52,2,m,m,m,3,33.33,,
PBO2b,upper_overbank,4,proximal,,53,1.5,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,54,2.5,m,m,m,4,37.50,,
PBO2b,upper_overbank,4,proximal,,55,1,s,csi,csi,,,,
PBO2b,upper_overbank,4,proximal,,56,2,m,m,m,3,33.33,,
PBO2b,upper_overbank,4,proximal,,57,2,s,vfs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,58,1,m,m,m,3,66.67,,
PBO2b,upper_overbank,4,proximal,,59,0.5,s,vfs,csi,,,,
PBO2b,upper_overbank,4,proximal,,60,3,m,m,m,3.5,14.29,,
PBO2b,upper_overbank,4,proximal,,61,1,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,62,8.5,m,m,m,9.5,10.53,,
PBO2b,upper_overbank,4,proximal,,63,1.5,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,64,1.5,m,m,m,3,50.00,,
PBO2b,upper_overbank,4,proximal,,65,0.5,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,66,0.5,m,m,m,1,50.00,,
PBO2b,upper_overbank,4,proximal,,67,1,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,68,1,m,m,m,2,50.00,,
PBO2b,upper_overbank,4,proximal,,69,1,s,vfs,csi,,,,
PBO2b,upper_overbank,4,proximal,,70,0.5,m,m,m,1.5,66.67,,
PBO2b,upper_overbank,4,proximal,,71,0.5,s,vfs,csi,,,,
PBO2b,upper_overbank,4,proximal,,72,3,m,m,m,3.5,14.29,,
PBO2b,upper_overbank,4,proximal,,73,2,s,fs,csi,,,,
PBO2b,upper_overbank,4,proximal,,74,3,m,m,m,5,40.00,,
PBO2b,upper_overbank,4,proximal,,75,1.5,s,fs,csi,,,,
PBO2b,upper_overbank,4,proximal,,76,6,m,m,fsi,7.5,20.00,,
PBO2b,upper_overbank,4,proximal,,77,1,s,fs,csi,,,,
PBO2b,upper_overbank,4,proximal,,78,3,m,m,m,4,25.00,,
PBO2b,upper_overbank,4,proximal,,79,0.5,s,vfs,csi,,,,
PBO2b,upper_overbank,4,proximal,,80,1.5,m,m,m,2,25.00,,
PBO2b,upper_overbank,4,proximal,,81,0.5,s,vfs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,82,2,m,m,m,2.5,20.00,,
PBO2b,upper_overbank,4,proximal,,83,0.5,s,vfs,csi,,,,
PBO2b,upper_overbank,4,proximal,,84,2,m,m,m,2.5,20.00,,
PBO2b,upper_overbank,4,proximal,,85,1,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,86,3,m,m,m,4,25.00,,
PBO2b,upper_overbank,4,proximal,,87,1,s,fs,vfs,,,,
PBO2b,upper_overbank,4,proximal,,88,0.5,m,m,m,1.5,66.67,,
PBO2b,upper_overbank,4,proximal,,89,0.5,s,vfs,csi,,,,
PBO2b,upper_overbank,4,proximal,,90,0.5,m,m,m,1,50.00,,
PBO2b,upper_overbank,4,proximal,,91,0.5,s,vfs,csi,,,,
PBO2b,upper_overbank,4,proximal,,92,0.5,m,m,m,1,50.00,,
PBO2b,upper_overbank,4,proximal,,93,0.5,s,vfs,csi,,,,
PBO2b,upper_overbank,4,proximal,,94,14,m,m,m,14.5,3.45,,
PBO2b,upper_overbank,4,proximal,,95,11,s,ms,fs,,,,
PBO2b,upper_overbank,4,proximal,,96,5,m,m,m,16,68.75,,
PBO2c,upper_overbank,4,distal,,1,6,s,ms,fs,,,,
PBO2c,upper_overbank,4,distal,,2,7,m,m,m,13,46.15,,
PBO2c,upper_overbank,4,distal,,3,2,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,4,2,m,m,m,4,50.00,,
PBO2c,upper_overbank,4,distal,,5,1,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,6,2,m,m,m,3,33.33,,
PBO2c,upper_overbank,4,distal,,7,0.5,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,8,3,m,m,m,3.5,14.29,,
PBO2c,upper_overbank,4,distal,,9,0.5,s,fs,fs,,,,
PBO2c,upper_overbank,4,distal,,10,2,m,m,m,2.5,20.00,,
PBO2c,upper_overbank,4,distal,,11,0.2,s,fs,fs,,,,
PBO2c,upper_overbank,4,distal,,12,4,m,m,m,4.2,4.76,,
PBO2c,upper_overbank,4,distal,,13,2,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,14,3,m,m,m,5,40.00,,
PBO2c,upper_overbank,4,distal,,15,1,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,16,2,m,m,m,3,33.33,,
PBO2c,upper_overbank,4,distal,,17,0.5,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,18,4,m,m,m,4.5,11.11,,
PBO2c,upper_overbank,4,distal,,19,2,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,20,5,m,m,m,7,28.57,,
PBO2c,upper_overbank,4,distal,,21,3,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,22,6,m,m,m,9,33.33,,
PBO2c,upper_overbank,4,distal,,23,1.5,s,vfs,csi,,,,
PBO2c,upper_overbank,4,distal,,24,1,m,m,m,2.5,60.00,,
PBO2c,upper_overbank,4,distal,,25,1,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,26,1,m,fsi,m,2,50.00,,
PBO2c,upper_overbank,4,distal,,27,0.5,s,vfs,csi,,,,
PBO2c,upper_overbank,4,distal,,28,1.5,m,m,m,2,25.00,,
PBO2c,upper_overbank,4,distal,,29,0.5,s,vfs,csi,,,,
PBO2c,upper_overbank,4,distal,,30,1,m,m,m,1.5,33.33,,
PBO2c,upper_overbank,4,distal,,31,3,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,32,5,m,m,m,8,37.50,,
PBO2c,upper_overbank,4,distal,,33,0.5,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,34,2.5,m,m,m,3,16.67,,
PBO2c,upper_overbank,4,distal,,35,0.5,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,36,7,m,m,m,7.5,6.67,,
PBO2c,upper_overbank,4,distal,,37,2,s,ms,csi,,,,
PBO2c,upper_overbank,4,distal,,38,2,m,m,m,4,50.00,,
PBO2c,upper_overbank,4,distal,,39,1,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,40,1,m,m,m,2,50.00,,
PBO2c,upper_overbank,4,distal,,41,1.5,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,42,2,m,m,m,3.5,42.86,,
PBO2c,upper_overbank,4,distal,,43,2,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,44,2.5,m,m,m,4.5,44.44,,
PBO2c,upper_overbank,4,distal,,45,2,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,46,6,m,m,m,8,25.00,,
PBO2c,upper_overbank,4,distal,,47,4,s,ms,fs,,,,
PBO2c,upper_overbank,4,distal,,48,4,m,m,m,8,50.00,,
PBO2c,upper_overbank,4,distal,,49,3,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,50,3,m,m,m,6,50.00,,
PBO2c,upper_overbank,4,distal,,51,0.5,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,52,5,m,m,m,5.5,9.09,,
PBO2c,upper_overbank,4,distal,,53,0.5,s,vfs,csi,,,,
PBO2c,upper_overbank,4,distal,,54,7,m,m,m,7.5,6.67,,
PBO2c,upper_overbank,4,distal,,55,1,s,vfs,csi,,,,
PBO2c,upper_overbank,4,distal,,56,0.5,m,m,m,1.5,66.67,,
PBO2c,upper_overbank,4,distal,,57,0.5,s,vfs,csi,,,,
PBO2c,upper_overbank,4,distal,,58,1,m,m,m,1.5,33.33,,
PBO2c,upper_overbank,4,distal,,59,1.5,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,60,2,m,m,m,3.5,42.86,,
PBO2c,upper_overbank,4,distal,,61,1,s,vfs,csi,,,,
PBO2c,upper_overbank,4,distal,,62,4,m,m,m,5,20.00,,
PBO2c,upper_overbank,4,distal,,63,1,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,64,7,m,m,m,8,12.50,,
PBO2c,upper_overbank,4,distal,,65,5,s,ms,fs,,,,
PBO2c,upper_overbank,4,distal,,66,3,m,m,m,8,62.50,,
PBO2c,upper_overbank,4,distal,,67,3,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,68,2,m,m,m,5,60.00,,
PBO2c,upper_overbank,4,distal,,69,0.3,s,vfs,csi,,,,
PBO2c,upper_overbank,4,distal,,70,0.6,m,m,m,0.9,33.33,,
PBO2c,upper_overbank,4,distal,,71,0.3,s,vfs,fsi,,,,
PBO2c,upper_overbank,4,distal,,72,0.2,m,m,m,0.5,60.00,,
PBO2c,upper_overbank,4,distal,,73,0.1,s,csi,fsi,,,,
PBO2c,upper_overbank,4,distal,,74,0.1,m,m,m,0.2,50.00,,
PBO2c,upper_overbank,4,distal,,75,0.1,s,fsi,m,,,,
PBO2c,upper_overbank,4,distal,,76,0.5,m,m,m,0.6,16.67,,
PBO2c,upper_overbank,4,distal,,77,0.5,s,csi,fsi,,,,
PBO2c,upper_overbank,4,distal,,78,3,m,m,m,3.5,14.29,,
PBO2c,upper_overbank,4,distal,,79,0.5,s,vfs,vfs,,,,
PBO2c,upper_overbank,4,distal,,80,2,m,m,m,2.5,20.00,,
PBO2c,upper_overbank,4,distal,,81,0.5,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,82,2,m,m,m,2.5,20.00,,
PBO2c,upper_overbank,4,distal,,83,4,s,ms,fs,,,,
PBO2c,upper_overbank,4,distal,,84,7,m,m,m,11,36.36,,
PBO2c,upper_overbank,4,distal,,85,1.5,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,86,1,m,m,m,2.5,60.00,,
PBO2c,upper_overbank,4,distal,,87,1,s,vfs,csi,,,,
PBO2c,upper_overbank,4,distal,,88,2,m,m,m,3,33.33,,
PBO2c,upper_overbank,4,distal,,89,0.5,s,fs,vfs,,,,
PBO2c,upper_overbank,4,distal,,90,6,m,m,m,6.5,7.69,,
PBO2c,upper_overbank,4,distal,,91,1.5,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,92,0.5,m,m,m,2,75.00,,
PBO2c,upper_overbank,4,distal,,93,0.5,s,csi,fsi,,,,
PBO2c,upper_overbank,4,distal,,94,4,m,m,m,4.5,11.11,,
PBO2c,upper_overbank,4,distal,,95,0.5,s,fs,csi,,,,
PBO2c,upper_overbank,4,distal,,96,9,m,m,m,9.5,5.26,,
PBO2c,upper_overbank,4,distal,,97,15,s,ms,fs,,,,
PBO2c,upper_overbank,4,distal,,98,0.5,m,m,m,15.5,96.77,,
PBO2c,upper_overbank,4,distal,,99,15,s,ms,fs,,,,
PBO2d ,upper_overbank,4,distal,,1,5,m,m,m,,,,
PBO2d ,upper_overbank,4,distal,,2,0.5,s,vfs,csi,,,,
PBO2d ,upper_overbank,4,distal,,3,3,m,m,m,3.5,14.28571429,,
PBO2d ,upper_overbank,4,distal,,4,1,s,vfs,csi,,,,
PBO2d ,upper_overbank,4,distal,,5,1,m,m,m,2,50,,
PBO2d ,upper_overbank,4,distal,,6,0.5,s,csi,fsi,,,,
PBO2d ,upper_overbank,4,distal,,7,9,m,m,m,9.5,5.263157895,,
PBO2d ,upper_overbank,4,distal,,8,0.5,s,vfs,csi,,,,
PBO2d ,upper_overbank,4,distal,,9,2,m,m,m,2.5,20,,
PBO2d ,upper_overbank,4,distal,,10,0.5,s,csi,fsi,,,,
PBO2d ,upper_overbank,4,distal,,11,14,m,m,m,14.5,3.448275862,,
PBO2d ,upper_overbank,4,distal,,12,0.5,s,vfs,csi,,,,
PBO2d ,upper_overbank,4,distal,,13,6,m,m,m,6.5,7.692307692,,
PBO2d ,upper_overbank,4,distal,,14,2.5,s,csi,fsi,,,,
PBO2d ,upper_overbank,4,distal,,15,2,m,m,m,4.5,55.55555556,,
PBO2d ,upper_overbank,4,distal,,16,0.5,s,vfs,csi,,,,
PBO2d ,upper_overbank,4,distal,,17,1,m,m,m,1.5,33.33333333,,
PBO2d ,upper_overbank,4,distal,,18,0.1,s,csi,csi,,,,
PBO2d ,upper_overbank,4,distal,,19,2,m,m,m,2.1,4.761904762,,
PBO2d ,upper_overbank,4,distal,,20,0.1,s,csi,csi,,,,
PBO2d ,upper_overbank,4,distal,,21,1,m,m,m,1.1,9.090909091,,
PBO2d ,upper_overbank,4,distal,,22,1.5,s,csi,m,,,,
PBO2d ,upper_overbank,4,distal,,23,5,m,m,m,6.5,23.07692308,,
PBO2d ,upper_overbank,4,distal,,24,0.5,s,vfs,csi,,,,
PBO2d ,upper_overbank,4,distal,,25,4,m,m,m,4.5,11.11111111,,
PBO2d ,upper_overbank,4,distal,,26,0.2,s,fsi,fs,,,,
PBO2d ,upper_overbank,4,distal,,27,4,m,m,m,4.2,4.761904762,,
PBO2d ,upper_overbank,4,distal,,28,1,s,csi,fsi,,,,
PBO2d ,upper_overbank,4,distal,,29,0.5,m,m,m,1.5,66.66666667,,
PBO2d ,upper_overbank,4,distal,,30,0.5,s,csi,fsi,,,,
PBO2d ,upper_overbank,4,distal,,31,2,m,m,m,2.5,20,,
PBO2d ,upper_overbank,4,distal,,32,0.5,s,csi,fsi,,,,
PBO2d ,upper_overbank,4,distal,,33,2,m,m,m,2.5,20,,
PBO2d ,upper_overbank,4,distal,,34,2,s,csi,fsi,,,,
PBO2d ,upper_overbank,4,distal,,35,6,m,m,m,8,25,,
PBO2d ,upper_overbank,4,distal,,36,1,s,csi,fsi,,,,
PBO2d ,upper_overbank,4,distal,,37,3,m,m,m,4,25,,
PBO2d ,upper_overbank,4,distal,,38,0.5,s,csi,fsi,,,,
PBO2d ,upper_overbank,4,distal,,39,8,m,m,m,8.5,5.882352941,,
PBO2d ,upper_overbank,4,distal,,40,0.5,s,csi,fsi,,,,
PBO2d ,upper_overbank,4,distal,,41,7,m,m,m,7.5,6.666666667,,
PBO2d ,upper_overbank,4,distal,,42,1,s,vfs,csi,,,,
PBO2d ,upper_overbank,4,distal,,43,3,m,m,m,4,25,,
PBO2d ,upper_overbank,4,distal,,44,0.2,s,csi,csi,,,,
PBO2d ,upper_overbank,4,distal,,45,5,m,m,m,5.2,3.846153846,,
PBO2d ,upper_overbank,4,distal,,46,0.2,s,csi,csi,,,,
PBO2d ,upper_overbank,4,distal,,47,6,m,m,m,6.2,3.225806452,,
PBO2d ,upper_overbank,4,distal,,48,2,s,fs,vfs,,,,
PBO2d ,upper_overbank,4,distal,,49,2,m,m,m,4,50,,
